Actors,Expertise/Interests,Doctorate/ Highest degree,Organization,Department,College/ School,Award Number,Title,Abstract,Project Keywords (Survey),Project Categories,Corrected Tags,MappedExpertise,ExpertiseCategories,CleanedDepartment
Rogelio Cardona-Rivera,"Modeling human intelligence, Computational Psychology, Artificial Intelligence, Game Design, Interactive Narrative, Virtual Reality",,University of Utah,"School of Computing, Entertainment Arts and Engineering Program",,2119630,Transformative Computational Models of Narrative to Support Teaching Indigenous Perspectives in K-12 Classrooms,"This project will contribute to the national need for sharing Indigenous perspectives in US K-12 education. By providing accurate representations of Indigenous narratives within social studies curricula, this project will address misconceptions of Indigenous peoples and their communities. The project will mitigate potential impacts of misrepresentations such as cultural identity silencing, disconnection, and lower graduation rates for Indigenous students and lack of cultural competence for non-Indigenous students. Often, Tribal Knowledge Holders visit classrooms and share their histories and perspectives class by class, which has the potential to overburden Indigenous communities. Technology can support both teachers and Indigenous communities to develop sustainable processes and practices to appropriately preserve and share Indigenous knowledge, culture, and perspectives. To date, little work has examined the role of Indigenous representation in the creation of narrative technologies designed to mitigate the lack of Indigenous representation in the classroom. This project will develop emerging narrative technologies from an Indigenous perspective to support teachers and classroom learning. The broader impact of the work includes benefits for tribal communities, K-12 educators, and policymakers, and other community and education organizations that wish to expand representations of diverse knowledge, cultures, education, and computations.<br/><br/>The proposed work builds on existing efforts to address pressing issues of bias embedded in emerging technologies and expand current notions of how to design new forms of technology for more equitable futures. The proposed project will deconstruct and culturally reformulate the basis of emerging technologies: the underlying computational models, data, algorithms, and interfaces. The overarching research question is: What does a culturally sustaining/revitalizing computational model of Indigenous narrative(s) look like? Building on an existing partnership with the Northwestern Band of the Shoshone Nation and K-12 teachers, the project team will use the social studies classroom as a design context to address issues of representation of Indigenous knowledge and culture via computational models. The proposed work seeks to empower Tribal members to (re)engage technologies that have historically perpetuated disparities and caused significant harm to their community to develop prototypes that represent their ways of being and knowing. The prototypes will be Tribally-created design experiences that preserve Indigenous history and effectively share it with students in fourth grade classrooms. This project will offer empirical insights for effective strategies and processes of how to engage Indigenous communities through a community-driven design methodological approach. The project has the potential to reimagine not only how models and algorithms are designed, but also who designs them. This project will inform and advance diverse fields including computer science, learning sciences, psychology, Indigenous education, teacher education, and social studies education.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",,,"Modeling and simulation (including agent-based modeling), Identity, Motivation and engagement, Broadening participation of historically marginalized groups, Cultural competence/responsiveness, Bias and equity in AI","Learning analytics,Narrative and simulated environments,Modeling and simulation (including agent-based modeling),AI,Augmented/virtual/mixed reality,Games and game making","Analytics,AI Approaches and Technologies,Learning Environments and Platforms","Arts, Engineering,Computer Science"
Fatma Baytar,"Human centered design, Computational tools and methods, textile engineering, protective apparel, virtual fit, virtual avatars, AR applications for virtual dressing rooms, 3D virtual prototyping,  ",,Cornell University,College of Human Ecology,,2048022,CAREER: Developing Computational Tools to Revitalize the U.S. Textile Manufacturing Workforce,"The loss of U.S. apparel production jobs overseas and a subsequent decline in manufacturing infrastructure after the 1980s was highlighted during the COVID-19 pandemic, when demand for domestically produced personal protective equipment could not be met. In order to address this deficit, the U.S. textile industry requires the physical and human resources to update, upskill, and accelerate manufacturing. At the core of this transformation are 2D/3D digital technologies, which enable instant product iterations and quickly move garments from development into production. Currently, digital competence is low for many in the U.S. textile manufacturing workforce, which has traditionally preferred manual techniques and questioned the accuracy of digital technologies, thus limiting rates of adoption. In education, there is a lack of knowledge about how to integrate 3D digital technologies into the curriculum, which has made it challenging to develop a tech-savvy future workforce and provide training to the existing workforce.<br/><br/>To address these gaps, the overarching goal of this CAREER project is to accelerate digitalization in manufacturing by: (1) creating a novel computational tool to replace in-person fit sessions during new product development, and facilitate rapid decision-making when using 2D/3D digital technologies, and (2) designing effective training modules for the current and future workforce to strengthen their core knowledge and growth. Tools and research findings from this project will advance scholarly knowledge and make a contribution across the fields such as textiles, learning sciences, computer science, and human-computer interaction. In addition, the methods proposed in this research will pave the way to create new jobs in U.S. manufacturing industries at the intersection of design, ergonomics, and technology, which will significantly benefit from the computational tool and cyber learning approaches developed in this project. A major educational component of the research focuses on leveraging the digital skills of the technologically savvy cohort, and includes organizing workshops for educators, designing curricular materials, providing research involvement and mentoring of undergraduate and graduate students, and outreach to 4-H and K-12 students.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",,,"Smart & connected communities for learning, Workshop, Engineering education","Engineering education,HCI,Material science,Augmented/virtual/mixed reality,Computing technology","Research Methods,Disciplinary Areas,Other Disciplinary Areas,Learning Environments and Platforms",Psychology
Marcela Borge,"Computer-supported collaborative learning, cognition and development, sociocultural theory, human-computer interaction, design-based research methods, scenario based design, intelligent systems, technology supported self-regulated learning, socio-metacognition",,Pennsylvania State Univ University Park,College of Education,,2124855,"International Society of the Learning Sciences (ISLS) 2021 Conference: Reflecting the Past and Embracing the Future through Doctoral Consortium, Early, and Mid-career Workshops","This project supports a group of 25 US-based doctoral students and early career professionals to virtually attend the Doctoral Consortium, Early Career Workshop, and Mid-Career Workshop at the Annual Meeting of the International Society of the Learning Sciences to be held virtually in June 2021. This workshop will enhance the capacity of the learning sciences as a field to address important challenges associated with the transformation of education and broadening of participation in the digital age. Additionally, the workshop will target diverse participants within the field and mentor scholars who are underrepresented. The overall goal is to support new scholars in the interdisciplinary learning science research community and contribute to impactful research on learning that will benefit society as a whole.<br/><br/>Given the virtual setting due to the Covid-19 pandemic, the project will employ new technologies to create virtual-based opportunities for community building and networking for the participants.  The workshop organization builds on a successful model documented as effective in similar past workshops, providing opportunities for the participants to interact with international researchers and practitioners. The activities provide participants with a deeper understanding of the field combined with hands-on mentorship. This will support early career scholars to succeed in the field and go on to make valuable intellectual contributions. Ultimately, the workshop will enhance the capacity of the learning sciences as an interdisciplinary field to address important challenges associated with the transformation of education and broadening of participation in the digital age.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",,,"Workshop, Broadening participation of historically marginalized groups","Self-regulation reflection and metacognition,HCI,Cultural competence/responsiveness,Collaborative and/or participatory learning,Design-based research (DBR),Scenario-based design","Research Methods,Equity and Social Justice,Learning Processes and Theories",Education
Mubbasir Kapadia,"Intelligent systems, Artificial Intelligence, Computer Animation, Crowd Simulation, Digital Storytelling, Autonomous Agents",,Rutgers University New Brunswick,Computer Science Department,,2119265,The Role of Agency and Interactivity in Embodied Conversational Agents to Support Teacher Training in High Poverty Schools,"Challenges with classroom behavior management predicts teacher stress and attrition and support for behavior management is a top professional priority identified by teachers. Traditional training for teachers in behavior management (e.g., workshops, whole group in-service training) has failed to produce substantial improvements in teachers’ work-related knowledge and skills. Virtual Reality-based training provides an opportunity for teachers to practice responding positively to disruptive behaviors with the freedom to explore and fail in a low-stakes setting. However, existing  platforms suffer from low usability and limited realism, particularly when simulating conversational interactions. This project offers a synergistic exploration of the educational impact of immersive, conversational learning environments, and the fundamental technical capabilities for building intelligent virtual agents. Specifically, the aim of the project is to systematically study the impact of embodied conversational agents on learning outcomes of teachers in high poverty schools, where discipline disparities and exclusionary discipline practices are prominent and positive discipline approaches are needed to promote engagement and learning.<br/><br/>This project supports the development and release of a new platform for specifying embodied conversational interaction, combining recent advances in intelligent virtual agents, generative modeling of communicative behavior, and human-in-the-loop design. The project outcomes will push the boundaries of agency and interactivity in virtual reality training platforms, where teachers can fully immerse themselves in virtual classrooms and engage with autonomous virtual students capable of expressing themselves using facial expressions, hand and body gestures, and spoken language. These free-form interactions are theorized to support transfer of learning from one setting (e.g., virtual classroom) to a new setting (e.g., live classroom), where teachers may carry forward applicable knowledge and skills. The research plan includes a series of studies over a 3-year time period, to systematically study the impact of agency and interactivity in virtual training platforms on the training outcomes of teachers, and their ability to transfer knowledge and skills to real classrooms. This type of training in behavior management provides an unique opportunity to augment existing support to teachers and foster the dissemination and implementation of effective training that can ultimately enhance student achievement and student/teacher well-being.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",AI; Modeling and simulation (including agent-based modeling); Augmented/virtual/mixed reality,,"Augmented/virtual/mixed reality, Workshop, Modeling and simulation (including agent-based modeling)","Modeling and simulation (including agent-based modeling),AI,Pedagogical agents,Games and game making,Adaptive/Personalized learning and intelligent tutors","AI Approaches and Technologies,Learning Environments and Platforms",Computer Science
Melissa Tehee,"Bias/prejudice/racism, health disparities domestic violence and other trauma experienced by ethnic and racial minorities",University of Arizona,Utah State University,Psychology,,2119573,Transformative Computational Models of Narrative to Support Teaching Indigenous Perspectives in K-12 Classrooms,"This project will contribute to the national need for sharing Indigenous perspectives in US K-12 education. By providing accurate representations of Indigenous narratives within social studies curricula, this project will address misconceptions of Indigenous peoples and their communities. The project will mitigate potential impacts of misrepresentations such as cultural identity silencing, disconnection, and lower graduation rates for Indigenous students and lack of cultural competence for non-Indigenous students. Often, Tribal Knowledge Holders visit classrooms and share their histories and perspectives class by class, which has the potential to overburden Indigenous communities. Technology can support both teachers and Indigenous communities to develop sustainable processes and practices to appropriately preserve and share Indigenous knowledge, culture, and perspectives. To date, little work has examined the role of Indigenous representation in the creation of narrative technologies designed to mitigate the lack of Indigenous representation in the classroom. This project will develop emerging narrative technologies from an Indigenous perspective to support teachers and classroom learning. The broader impact of the work includes benefits for tribal communities, K-12 educators, and policymakers, and other community and education organizations that wish to expand representations of diverse knowledge, cultures, education, and computations.<br/><br/>The proposed work builds on existing efforts to address pressing issues of bias embedded in emerging technologies and expand current notions of how to design new forms of technology for more equitable futures. The proposed project will deconstruct and culturally reformulate the basis of emerging technologies: the underlying computational models, data, algorithms, and interfaces. The overarching research question is: What does a culturally sustaining/revitalizing computational model of Indigenous narrative(s) look like? Building on an existing partnership with the Northwestern Band of the Shoshone Nation and K-12 teachers, the project team will use the social studies classroom as a design context to address issues of representation of Indigenous knowledge and culture via computational models. The proposed work seeks to empower Tribal members to (re)engage technologies that have historically perpetuated disparities and caused significant harm to their community to develop prototypes that represent their ways of being and knowing. The prototypes will be Tribally-created design experiences that preserve Indigenous history and effectively share it with students in fourth grade classrooms. This project will offer empirical insights for effective strategies and processes of how to engage Indigenous communities through a community-driven design methodological approach. The project has the potential to reimagine not only how models and algorithms are designed, but also who designs them. This project will inform and advance diverse fields including computer science, learning sciences, psychology, Indigenous education, teacher education, and social studies education.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",,,"Modeling and simulation (including agent-based modeling), Identity, Motivation and engagement, Broadening participation of historically marginalized groups, Cultural competence/responsiveness, Bias and equity in AI","Critical theory and identity,Critical theory and identity,Community partnerships",Equity and Social Justice,Psychology
Eleanor O'Rourke,"Human-Computer Interaction, educational technology, Computer Science Education, Game Science","University of Washington, Seattle",Northwestern University,"Computer Science, Learning Sciences",,2045809,CAREER: Towards Intelligent Learning Environments that Support the Practice of Programming,"Technology plays an important role in modern society, shaping how people socialize, learn, and work. As a result, programming skills are in high demand across all sectors of the economy. While enrollments in university computer science (CS) courses are growing rapidly, many students struggle to learn programming and retention in the major is low. Learning to program requires mastering practices like problem-solving, systematic debugging, and adaptive planning. However, rising enrollments in CS classes make it difficult for instructors to monitor student practices and provide feedback. Given that a student’s programming process cannot be determined from the final solution, instructors rarely have visibility into students’ programming practices. This project leverages a unique opportunity to observe and support the programming process automatically and aims to advance scientific understanding of the programming process by building intelligent programming environments that assess and adapt to students’ motivations and practices. As a CAREER project, it employs integrated education and outreach efforts, to develop the theoretical and technical foundations needed to develop and disseminate intelligent learning environments that effectively support the practice of programming.<br/><br/>This CAREER project explores and addresses core challenges in promoting effective programming practices in introductory CS courses. The PI’s prior work reveals that students often use programming practices as signals of whether they are performing well. For example, many students believe that planning and looking up syntax are signs of low ability, even though experts consider these practices a natural part of programming. Furthermore, these self-assessments have been shown to impact self-efficacy, or a student’s belief in their ability to succeed. These findings introduce two core challenges. First, students’ inaccurate expectations about programming may lead them to avoid effective expert practices. Second, students may develop low self-efficacy when they engage in these practices, a factor that can impact course performance and the decision to major in CS. This project proposes a general approach and set of techniques to address these challenges by (1) developing behavioral models that automatically detect programming practices to enable a large-scale study of student motivations and practices, and (2) designing and evaluating interventions that provide personalized guidance to help students develop motivation and effective practices. The proposed education plan will expand the impact of the research through (1) online workshops for CS instructors that focus on student motivation and practices, (2) new courses for graduate students who plan to become CS instructors, and (3) research opportunities for students who are underrepresented in CS.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",,,"Cyber-enhanced/Computer-assisted assessments, Formative assessment, Motivation and engagement, Workshop","HCI,Computer science education,Games and game making","Research Methods,Disciplinary Areas,Learning Environments and Platforms","Learning Sciences,Computer Science"
Stephen Looney,"Biostatistics, statistics, Linguistics",University of Georgia,Pennsylvania State Univ University Park,Applied Linguistics,,2140414,EAGER: Collaborative Research:  Second Language Speech Production: Formulation  of Objective Speech Intelligibility Measures and Learner-Specific Feedback,"This Early-concept Grants for Exploratory Research (EAGER) project focuses on exploring and developing a novel operational collection of speech, language and perception-based measures to objectively assess speech intelligibility for second language (L2) speech production, as well as providing effective learner-specific feedback. With the rise of English as an international language, intelligibility-based successful communication has been emphasized over native-like accents. However, L2 teachers often raise concerns about learners’ slow or stagnant pronunciation progress. Several primary reasons for this problem may include difficulties in perceptually discerning changes in learners’ speech and interpreting learners’ speech patterns without any learner-specific intelligibility assessment profile. Today, teachers have no systematic way to assess each student’s speech changes, nor can students monitor and track feedback related to their pronunciation learning progression. Therefore, an exploratory and transformative method is introduced for measuring speech intelligibility that provides both teachers and learners with objective and individualized feedback. This  exploratory project is proposed for EAGER funding  in order to establish a baseline working framework for operational objective measure creation, and proof-of-concept assessment feedback for teachers and learners. This approach will help teachers gauge learners’ intelligibility levels and allow learners to self-regulate their learning progress incrementally over time. The long-term innovation is expected to benefit skilled US professionals from non-English speaking countries, who work in various STEM (science, technology, engineering, and mathematics) fields. Additionally, this interdisciplinary project provides various opportunities for hands-on training and experience for both graduate and undergraduate students in the fields of language education, applied linguistics, computer engineering, and speech technology.<br/><br/>This project explores an idea to assess intelligibility in speech communications based on multiple individual speech measures for non-native speakers. The ideas are currently in their very early stages of development, and a large portion of the research ideas are untested. In order to establish the ground truth of potential individual speech production intelligibility measures, the implementation and feasibility of this intelligibility feedback approach must be validated with evidence. By employing advanced Automatic Speech Recognition-based accent classification technology based on machine learning, the team of researchers plan to provide learners with measured speech property information through operational and a discriminating set of objective speech intelligibility measures. The current innovation builds on language skill acquisition theory with a functional analytic-linguistic approach, arguing that explicit and metalinguistic feedback plays a pivotal role in moving learners forward in their L2 development. The vision is enabled by on-going research on auditory-based neurogram and spectrogram orthogonal polynomial measures that predict speech intelligibility, employing the learners’ unconstrained speech utterances. The project will contribute to the scientific knowledge of what constitutes L2 intelligible speech, understanding how individualized objective speech intelligibility feedback affects L2 speech development, and creating a foundational collection of speech/auditory/signal processing measures as well as ASR/DNN driven measures that assess a speaker’s intelligibility and identify efficient ways of implementing this technology in L2 learning contexts.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",Natural language processing and speech technologies; Pedagogical agents; Mobile learning; Online learning,,"Natural language processing and speech technologies, Cyber-enhanced/Computer-assisted assessments, Formative assessment, Machine learning, Learning analytics","Learning Analytics,Natural language processing and speech technologies,Learning analytics","Analytics,AI Approaches and Technologies",Linguistics
Okim Kang,"L2 speech/intelligibility, Speech perception and production, Speech technology and asr, Assessment",University of Georgia,Northern Arizona University,Department of English,,2140469,EAGER: Collaborative Research: Production of Second Language Speech: Formulation  of Objective Speech Intelligibility Measures and Learner-specific Feedback,"This Early-concept Grants for Exploratory Research (EAGER) project focuses on exploring and developing a novel operational collection of speech, language and perception-based measures to objectively assess speech intelligibility for second language (L2) speech production, as well as providing effective learner-specific feedback. With the rise of English as an international language, intelligibility-based successful communication has been emphasized over native-like accents. However, L2 teachers often raise concerns about learners’ slow or stagnant pronunciation progress. Several primary reasons for this problem may include difficulties in perceptually discerning changes in learners’ speech and interpreting learners’ speech patterns without any learner-specific intelligibility assessment profile. Today, teachers have no systematic way to assess each student’s speech changes, nor can students monitor and track feedback related to their pronunciation learning progression. Therefore, an exploratory and transformative method is introduced for measuring speech intelligibility that provides both teachers and learners with objective and individualized feedback. This  exploratory project is proposed for EAGER funding  in order to establish a baseline working framework for operational objective measure creation, and proof-of-concept assessment feedback for teachers and learners. This approach will help teachers gauge learners’ intelligibility levels and allow learners to self-regulate their learning progress incrementally over time. The long-term innovation is expected to benefit skilled US professionals from non-English speaking countries, who work in various STEM (science, technology, engineering, and mathematics) fields. Additionally, this interdisciplinary project provides various opportunities for hands-on training and experience for both graduate and undergraduate students in the fields of language education, applied linguistics, computer engineering, and speech technology.<br/><br/>This project explores an idea to assess intelligibility in speech communications based on multiple individual speech measures for non-native speakers. The ideas are currently in their very early stages of development, and a large portion of the research ideas are untested. In order to establish the ground truth of potential individual speech production intelligibility measures, the implementation and feasibility of this intelligibility feedback approach must be validated with evidence. By employing advanced Automatic Speech Recognition-based accent classification technology based on machine learning, the team of researchers plan to provide learners with measured speech property information through operational and a discriminating set of objective speech intelligibility measures. The current innovation builds on language skill acquisition theory with a functional analytic-linguistic approach, arguing that explicit and metalinguistic feedback plays a pivotal role in moving learners forward in their L2 development. The vision is enabled by on-going research on auditory-based neurogram and spectrogram orthogonal polynomial measures that predict speech intelligibility, employing the learners’ unconstrained speech utterances. The project will contribute to the scientific knowledge of what constitutes L2 intelligible speech, understanding how individualized objective speech intelligibility feedback affects L2 speech development, and creating a foundational collection of speech/auditory/signal processing measures as well as ASR/DNN driven measures that assess a speaker’s intelligibility and identify efficient ways of implementing this technology in L2 learning contexts.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",Accessibility and technology; Formative assessment; Online learning; Feedback,,"Natural language processing and speech technologies, Cyber-enhanced/Computer-assisted assessments, Formative assessment, Machine learning, Learning analytics","Natural language processing and speech technologies,Cyber-enhanced/Computer-assisted assessments,Literacy (e.g. reading/reading comprehension writing language learning)","Instruments Assessment and Measures,AI Approaches and Technologies,Disciplinary Areas",English
Jacob Whitehill,"Machine learning, Affective computing, Intelligent tutoring systems, Computer vision","Univeristy of California, San Diego",Worcester Polytechnic Institute,Computer Science,,2046505,CAREER: Developing New Scientific Instruments for Classroom Observation: A Multi-modal Machine Learning Approach,"This project will harness artificial intelligence (AI) to improve both the quality of classroom teaching and the precision of educational research by providing teachers and scientists with new methods of observing the inter-personal dynamics between teachers, students, and their peers. Decades of research have demonstrated that the quality and quantity of interactions between teachers and students can have a major impact on student engagement, attitudes toward learning, and downstream academic and socio-emotional outcomes. Despite the progress that has been made in studying classroom interactions and their impact on students' learning, as well as in developing effective interventions to help teachers teach better, the status quo of educational measurement is currently a significant roadblock to further progress in both educational research and teacher training. Specific problems with contemporary methods include ignoring the possibly different classroom experiences of individual students and minority subgroups, and providing only limited actionable feedback for teachers. This project will depart from standard observation protocols, which typically describe the ""average"" classroom experience of the ""average"" learner, and instead focus on characterizing over time the fine-grained experiences of every student in the classroom. The scientific instruments developed during this project will also be used to help teachers to identify potential biases when interacting with particular students in their classes.<br/><br/>To achieve these goals, the team will make advances in multi-modal (vision, speech, natural language) machine learning to devise new architectures that analyze videos of school classrooms and perceive fine-grained interactions. The envisioned AI systems will (1) identify who is interacting with whom, when, and how in a school classroom; (2) find the key events during a teaching session that are most important for teacher feedback; and (3) summarize interactions for each student along different dimensions to find students who need more attention and to uncover possible bias. Based on these new analyses, the team will develop (4) predictive models to estimate socioemotional and academic outcomes outcomes. Finally, the team will (5) devise new teacher training experiences that help teachers to perceive classroom dynamics more accurately. The project will result in contributions to the fields of computer vision, speech analysis, machine learning, and education, and will offer new insights into automatic speaker diarization, person tracking, sentiment analysis, and classroom observation analysis. The scientific and educational agendas provide opportunities for inter-disciplinary training of research assistants; they will also enable and benefit from collaboration between the research team and teachers in both Massachusetts and Virginia.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",,,"Formative assessment, Computer vision technologies, Machine learning, Social emotional learning, Bias and equity in AI, AI, Natural language processing and speech technologies","Machine learning,Computer vision technologies,Adaptive/Personalized learning and intelligent tutors,Multimodal data analysis","Analytics,Other Disciplinary Areas,AI Approaches and Technologies",Computer Science
John H. L. Hansen,"Speech processing, Speech recognition, Speaker recognition, Speech under stress, Lombard effect",Georgia Institute of Technology,University of Texas at Dallas,School of Engineering and Computer Science,,2140415,EAGER: Collaborative Research:  Second Language Speech Production: Formulation of Objective Speech Intelligibility Measures and Learner-Specific Feedback,"This Early-concept Grants for Exploratory Research (EAGER) project focuses on exploring and developing a novel operational collection of speech, language and perception-based measures to objectively assess speech intelligibility for second language (L2) speech production, as well as providing effective learner-specific feedback. With the rise of English as an international language, intelligibility-based successful communication has been emphasized over native-like accents. However, L2 teachers often raise concerns about learners’ slow or stagnant pronunciation progress. Several primary reasons for this problem may include difficulties in perceptually discerning changes in learners’ speech and interpreting learners’ speech patterns without any learner-specific intelligibility assessment profile. Today, teachers have no systematic way to assess each student’s speech changes, nor can students monitor and track feedback related to their pronunciation learning progression. Therefore, an exploratory and transformative method is introduced for measuring speech intelligibility that provides both teachers and learners with objective and individualized feedback. This  exploratory project is proposed for EAGER funding  in order to establish a baseline working framework for operational objective measure creation, and proof-of-concept assessment feedback for teachers and learners. This approach will help teachers gauge learners’ intelligibility levels and allow learners to self-regulate their learning progress incrementally over time. The long-term innovation is expected to benefit skilled US professionals from non-English speaking countries, who work in various STEM (science, technology, engineering, and mathematics) fields. Additionally, this interdisciplinary project provides various opportunities for hands-on training and experience for both graduate and undergraduate students in the fields of language education, applied linguistics, computer engineering, and speech technology.<br/><br/>This project explores an idea to assess intelligibility in speech communications based on multiple individual speech measures for non-native speakers. The ideas are currently in their very early stages of development, and a large portion of the research ideas are untested. In order to establish the ground truth of potential individual speech production intelligibility measures, the implementation and feasibility of this intelligibility feedback approach must be validated with evidence. By employing advanced Automatic Speech Recognition-based accent classification technology based on machine learning, the team of researchers plan to provide learners with measured speech property information through operational and a discriminating set of objective speech intelligibility measures. The current innovation builds on language skill acquisition theory with a functional analytic-linguistic approach, arguing that explicit and metalinguistic feedback plays a pivotal role in moving learners forward in their L2 development. The vision is enabled by on-going research on auditory-based neurogram and spectrogram orthogonal polynomial measures that predict speech intelligibility, employing the learners’ unconstrained speech utterances. The project will contribute to the scientific knowledge of what constitutes L2 intelligible speech, understanding how individualized objective speech intelligibility feedback affects L2 speech development, and creating a foundational collection of speech/auditory/signal processing measures as well as ASR/DNN driven measures that assess a speaker’s intelligibility and identify efficient ways of implementing this technology in L2 learning contexts.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",Natural language processing and speech technologies; Data mining; Educator professional training; Broadening participation of historically marginalized groups,,"Natural language processing and speech technologies, Cyber-enhanced/Computer-assisted assessments, Formative assessment, Machine learning, Learning analytics","Natural language processing and speech technologies,Mental health","Equity and Social Justice,AI Approaches and Technologies","Engineering, Computer Science"
