Root,Expertise,MappedExpertise,Actors,
 ,Analytics,Learning analytics,Rogelio Cardona-Rivera,
 ,Learning Environments and Platforms,Narrative and simulated environments,Rogelio Cardona-Rivera,
 ,AI Approaches and Technologies,Modeling and simulation (including agent-based modeling),Rogelio Cardona-Rivera,
 ,AI Approaches and Technologies,AI,Rogelio Cardona-Rivera,
 ,Learning Environments and Platforms,Augmented/virtual/mixed reality,Rogelio Cardona-Rivera,
 ,Learning Environments and Platforms,Games and game making,Rogelio Cardona-Rivera,
 ,Disciplinary Areas,Engineering education,Fatma Baytar,
 ,Research Methods,HCI,Fatma Baytar,
 ,Other Domains,Material science,Fatma Baytar,
 ,Learning Environments and Platforms,Augmented/virtual/mixed reality,Fatma Baytar,
 ,Other Domains,Computing technology,Fatma Baytar,
 ,Learning Processes and Theories,Self-regulation reflection and metacognition,Marcela Borge,
 ,Research Methods,HCI,Marcela Borge,
 ,Equity and Social Justice,Cultural competence/responsiveness,Marcela Borge,
 ,Learning Processes and Theories,Collaborative and/or participatory learning,Marcela Borge,
 ,Research Methods,Design-based research (DBR),Marcela Borge,
 ,Research Methods,Scenario-based design,Marcela Borge,
 ,AI Approaches and Technologies,Modeling and simulation (including agent-based modeling),Mubbasir Kapadia,
 ,AI Approaches and Technologies,AI,Mubbasir Kapadia,
 ,AI Approaches and Technologies,Pedagogical agents,Mubbasir Kapadia,
 ,Learning Environments and Platforms,Games and game making,Mubbasir Kapadia,
 ,AI Approaches and Technologies,Adaptive/Personalized learning and intelligent tutors,Mubbasir Kapadia,
 ,Equity and Social Justice,Critical theory and identity,Melissa Tehee,
 ,Equity and Social Justice,Community partnerships,Melissa Tehee,
 ,Research Methods,HCI,Eleanor O'Rourke,
 ,Disciplinary Areas,Computer science education,Eleanor O'Rourke,
 ,Learning Environments and Platforms,Games and game making,Eleanor O'Rourke,
 ,AI Approaches and Technologies,Natural language processing and speech technologies,Stephen Looney,
 ,Analytics,Learning analytics,Stephen Looney,
 ,AI Approaches and Technologies,Natural language processing and speech technologies,Okim Kang,
 ,"Instruments, Assessment, and Measures",Cyber-enhanced/Computer-assisted assessments,Okim Kang,
 ,Disciplinary Areas,Literacy (e.g. reading/reading comprehension writing language learning),Okim Kang,
 ,AI Approaches and Technologies,Machine learning,Jacob Whitehill,
 ,AI Approaches and Technologies,Computer vision technologies,Jacob Whitehill,
 ,AI Approaches and Technologies,Adaptive/Personalized learning and intelligent tutors,Jacob Whitehill,
 ,Analytics,Multimodal data analysis,Jacob Whitehill,
 ,AI Approaches and Technologies,Natural language processing and speech technologies,John H. L. Hansen,
 ,Equity and Social Justice,Mental health,John H. L. Hansen,
 ,Equity and Social Justice,Accessibility and technology,Lorna Quandt,
 ,"Instruments, Assessment, and Measures",Biometrics (e.g. eye-tracking EEG),Lorna Quandt,
 ,Learning Processes and Theories,Neuroscience,Lorna Quandt,
 ,Other Domains,Nanotechnology,Dinadayalane Tandabany,
 ,Other Domains,Chemistry,Dinadayalane Tandabany,
 ,AI Approaches and Technologies,Machine learning,Dinadayalane Tandabany,
 ,AI Approaches and Technologies,AI,Dinadayalane Tandabany,
 ,Other Domains,Computing technology,Dinadayalane Tandabany,
 ,Analytics,Learning analytics,Salam Khan,
 ,Analytics,Computer vision,Salam Khan,
 ,AI Approaches and Technologies,Machine learning,Salam Khan,
 ,Other Domains,Mathematics,Salam Khan,
 ,Other Domains,Physics,Salam Khan,
 ,AI Approaches and Technologies,Modeling and simulation (including agent-based modeling),Salam Khan,
 ,Research Methods,Experimental Design,Salam Khan,
 ,Analytics,Learning analytics,Alejandra Magana-de-Leon,
 ,Pedagogical Approaches and Processes,Inquiry learning (e.g. project/problem based learning),Alejandra Magana-de-Leon,
 ,AI Approaches and Technologies,Modeling and simulation (including agent-based modeling),Alejandra Magana-de-Leon,
 ,AI Approaches and Technologies,AI knowledge representation and reasoning,Alejandra Magana-de-Leon,
 ,AI Approaches and Technologies,AI,Alejandra Magana-de-Leon,
 ,Learning Processes and Theories,Embodied learning and cognition,Alejandra Magana-de-Leon,
 ,Disciplinary Areas,Computer science education,Alejandra Magana-de-Leon,
 ,Disciplinary Areas,Data science education,Alejandra Magana-de-Leon,
 ,Disciplinary Areas,Science education,Colleen Megowan-Romanowicz,
 ,Research Methods,HCI,Kwangtaek Kim,
 ,Equity and Social Justice,Accessibility and technology,Kwangtaek Kim,
 ,AI Approaches and Technologies,Robots,Kwangtaek Kim,
 ,Other Domains,Content security,Kwangtaek Kim,
 ,Learning Environments and Platforms,Smart & connected communities for learning,Kwangtaek Kim,
 ,Learning Environments and Platforms,Interactive Displays,Kwangtaek Kim,
 ,Capacity Building,Workforce development,Kwangtaek Kim,
 ,Learning Environments and Platforms,Augmented/virtual/mixed reality,Kwangtaek Kim,
 ,Learning Environments and Platforms,Games and game making,Kwangtaek Kim,
 ,Capacity Building,Instructional Design,Shiting Lan,
 ,AI Approaches and Technologies,Adaptive/Personalized learning and intelligent tutors,Shiting Lan,
 ,AI Approaches and Technologies,Modeling and simulation (including agent-based modeling),Shiting Lan,
 ,AI Approaches and Technologies,AI,Shiting Lan,
 ,Research Methods,Human-AI Interaction,Shiting Lan,
 ,Research Methods,HCI,Neil Heffernan,
 ,AI Approaches and Technologies,AI,Neil Heffernan,
 ,Analytics,Data mining,Neil Heffernan,
 ,Disciplinary Areas,Math education,Neil Heffernan,
 ,Learning Processes and Theories,Cognitive psychology / Cognitive science,Neil Heffernan,
 ,AI Approaches and Technologies,Adaptive/Personalized learning and intelligent tutors,Neil Heffernan,
 ,Equity and Social Justice,Social welfare development and responsibility,Qi Wang,
 ,Other Domains,Brain function,Qi Wang,
 ,Learning Processes and Theories,Collaborative and/or participatory learning,Qi Wang,
 ,Learning Processes and Theories,Cognitive psychology / Cognitive science,Qi Wang,
 ,Equity and Social Justice,Cultural competence/responsiveness,Qi Wang,
 ,Learning Environments and Platforms,Narrative and simulated environments,Rhonda Christensen,
 ,Disciplinary Areas,Science education,Rhonda Christensen,
 ,Disciplinary Areas,Math education,Rhonda Christensen,
 ,Disciplinary Areas,Engineering education,Rhonda Christensen,
 ,Other Domains,Software engineering,Rhonda Christensen,
 ,Learning Environments and Platforms,Mobile learning,Rhonda Christensen,
 ,Capacity Building,Instructional Design,Ross Higashi,
 ,Capacity Building,Educator professional learning,Ross Higashi,
 ,Disciplinary Areas,Computational thinking,Ross Higashi,
 ,Learning Environments and Platforms,MOOCs,Ross Higashi,
 ,Disciplinary Areas,Robotics education,Ross Higashi,
 ,Research Methods,HCI,Cristina Heffernan,
 ,AI Approaches and Technologies,AI,Cristina Heffernan,
 ,Analytics,Data mining,Cristina Heffernan,
 ,Disciplinary Areas,Math education,Cristina Heffernan,
 ,Learning Processes and Theories,Cognitive psychology / Cognitive science,Cristina Heffernan,
 ,AI Approaches and Technologies,Adaptive/Personalized learning and intelligent tutors,Cristina Heffernan,
 ,Analytics,Learning analytics,Nikolas Martelaro,
 ,Research Methods,HCI,Nikolas Martelaro,
 ,Learning Environments and Platforms,Wearable / physiological technology,Nikolas Martelaro,
 ,Equity and Social Justice,Accessibility and technology,Nikolas Martelaro,
 ,AI Approaches and Technologies,AI,Nikolas Martelaro,
 ,AI Approaches and Technologies,Pedagogical agents,Nikolas Martelaro,
 ,Research Methods,Design Research,Nikolas Martelaro,
 ,Research Methods,Human-AI Interaction,Nikolas Martelaro,
 ,Other Domains,Manufacturing,Nikolas Martelaro,
 ,Other Domains,Autonomous technology,Nikolas Martelaro,
 ,Analytics,Learning analytics,Joshua Sunshine,
 ,Equity and Social Justice,Social welfare development and responsibility,Joshua Sunshine,
 ,Other Domains,Programming,Joshua Sunshine,
 ,Research Methods,HCI,Joshua Sunshine,
 ,AI Approaches and Technologies,Ethical AI,Joshua Sunshine,
 ,AI Approaches and Technologies,Machine learning,Joshua Sunshine,
 ,Analytics,Data mining,Joshua Sunshine,
 ,Other Domains,Software engineering,Joshua Sunshine,
 ,Analytics,Data visualization representations and dashboards,Joshua Sunshine,
 ,Other Domains,Computing technology,Joshua Sunshine,
 ,Other Domains,Computing technology,Joshua Sunshine,
 ,Other Domains,Software engineering,Joshua Sunshine,
