Actors,MappedExpertise,Count,
mExpertise,,
AI,mExpertise,
AI knowledge representation and reasoning,mExpertise,
Accessibility and technology,mExpertise,
Adaptive/Personalized learning and intelligent tutors,mExpertise,
Anthropology,mExpertise,
Augmented/virtual/mixed reality,mExpertise,
Autonomous technology,mExpertise,
Behavior analysis,mExpertise,
Bias and equity in AI,mExpertise,
Biometrics (e.g. eye-tracking EEG),mExpertise,
Brain function,mExpertise,
Broadening participation of historically marginalized groups,mExpertise,
Chemistry,mExpertise,
Cognitive psychology / Cognitive science,mExpertise,
Collaborative and/or participatory learning,mExpertise,
Community partnerships,mExpertise,
Computational thinking,mExpertise, 
Computer science education,mExpertise, 
Computer vision,mExpertise,
Computer vision technologies,mExpertise,
Computing technology,mExpertise,
Content security,mExpertise,
Creativity,mExpertise,
Critical theory and identity,mExpertise,
Crowdsourcing,mExpertise,
Cultural competence/responsiveness,mExpertise,
Culturally responsive,mExpertise,
Cyber-enhanced/Computer-assisted assessments,mExpertise,
Data mining,mExpertise,
Data science education,mExpertise, 
Data visualization representations and dashboards,mExpertise,
Design Research,mExpertise,
Design-based research (DBR),mExpertise,
ELA education,mExpertise, 
Educator professional learning,mExpertise,
Embodied learning and cognition,mExpertise,
Energy,mExpertise,
Engineering education,mExpertise, 
Enthnographic methods,mExpertise,
Environmental Science,mExpertise,
Ethical AI,mExpertise,
Ethics,mExpertise,
Evaluation,mExpertise,
Experimental Design,mExpertise,
Formal classroom settings,mExpertise,
Formative assessment,mExpertise,
Games and game making,mExpertise,
Graphics,mExpertise,
HCI,mExpertise,
Health,mExpertise,
Human-AI Interaction,mExpertise,
Identity,mExpertise,
Inclusive/universal design,mExpertise,
Informal settings,mExpertise,
Inquiry learning (e.g. project/problem based learning),mExpertise,
Instructional Design,mExpertise,
Interactive Displays,mExpertise,
Learning analytics,mExpertise,
Learning engineering,mExpertise,
Literacy (e.g. reading/reading comprehension writing language learning),mExpertise, 
MOOCs,mExpertise,
Machine learning,mExpertise,
Manufacturing,mExpertise,
Material science,mExpertise,
Math education,mExpertise, 
Mathematical sciences,mExpertise,
Mathematics,mExpertise,
Media use,mExpertise,
Medicine,mExpertise,
Mental health,mExpertise,
Mineral processing,mExpertise,
Mixed methods,mExpertise,
Mobile learning,mExpertise,
Modeling and simulation (including agent-based modeling),mExpertise,
Modeling and simulation (including agent-based simulation),mExpertise,
Multimodal communication,mExpertise,
Multimodal data analysis,mExpertise,
Nanotechnology,mExpertise,
Narrative and simulated environments,mExpertise,
Natural language processing and speech technologies,mExpertise,
Neuroscience,mExpertise,
Neuroscience and analytics,mExpertise,
Online learning,mExpertise,
Pedagogical agents,mExpertise,
Pedagogy,mExpertise,
Philosophy,mExpertise,
Physcial Sciences,mExpertise,
Physics,mExpertise,
Physiological sciences,mExpertise,
Policy,mExpertise,
